id,pali,pos,meaning
1724,aṭṭhakathā,fem,commentary; exegesis; detailed explanation
3919,anāgāmī,adj,who does not return; non-returning
4863,anupubbasikkhā,fem,gradual training; step-by-step practice
5217,anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to)
7428,abyāpāda,masc,goodwill; kindness; friendliness; benevolence
9813,asubha 1,adj,ugly; disgusting; foul; unattractive
11288,ācariya 1,masc,teacher; religious leader
11764,ānāpānassati,fem,mindfulness while breathing in and out; mindfulness during inhalation and exhalation
11881,āpattidesanā,fem,confessing an offence; admitting a transgression
13147,āvuso,ind,sir; sirs; venerable; venerables; reverend; reverends
13760,indriyasaṃvara,masc,control of the mind; sense restraint
15488,upajjhāya,masc,preceptor; teacher; mentor
16130,upasampadā 2,fem,(vinaya) higher ordination as monastic
16449,upekkhā,fem,looking on; mental poise; mental balance; equanimity; equipoise; non-reactivity; composure
18553,ottappa,nt,regret; shame in wrongdoing; respect for others; (comm) originating from outside
20529,karuṇā,fem,compassion; sympathy; kindness (towards unfortunate beings)
20666,kalyāṇamitta 2,masc,excellent friend; good spiritual companion
23420,khanti 1,fem,patience; endurance; tolerance
26009,catumadhura,nt,"four sweets (ghee, honey, sugar and sesame oil)"
26369,cāga 2,masc,generosity; sharing; liberality
26555,citta 1.1,nt,mind; heart
27392,chanda 1,masc,interest (in); self-interest (in); desire (for); wish (for); intention (to); impulse (for)
28749,jhāna 2,nt,meditation; stage of meditation
28973,ṭīkā,fem,sub-commentary; commentary on a commentary
31538,thullaccaya,nt,(vinaya) heavy offence; grave transgression; class of serious offences
32851,dukkaṭa 3,nt,class of vinaya offence; wrong-doing
34634,dhamma 1.09,masc,law; case; rule; legal process
34910,dhammavicaya,masc,investigation of reality; examining states; analysing the teaching
35186,dhutaṅga,nt,ascetic practice
35249,dhūta 1,nt,ascetic practice
37660,nibbidā,fem,dis-enchantment (towards); de-illusionment (with); disinterest (in); dispassion (towards)
38255,nissaggiya 1,ptp,involving relinquishment; to be given up; to be forfeited
38292,nissaya 1,masc,dependency; physical support; reliance; something one depends on
39770,pañcakkhandha,masc,"five aggregates; five masses; materiality, feeling, perception, mental activities and consciousnes"
39816,pañcanīvaraṇa,nt,five obstacles; five barriers; five hindrances
42374,papañca,masc,various opinions; proliferation; endless conceptualization
43579,parinibbāna 1,nt,(of mental defilement) complete quenching; total emancipation; complete cooling
44749,passaddhi,fem,calm; tranquillity; peace; stillness; serenity
44914,pavāraṇā 2,fem,(vinaya) invitation ceremony at the end of the rains retreat
45252,pācittiya 1,nt,(vinaya) offence requiring confession
45760,pārājika 3,nt,(vinaya) offence involving defeat; transgression requiring expulsion
46045,piṇḍacāra,masc,going for alms round; alms wandering
48639,bojjhaṅga 1,masc,element of awakening; factor of enlightenment
48913,brahmacariya 1,nt,spiritual path; spiritual practice; holy life
49018,brahmavihāra,masc,divine dwelling; heavenly abode; sublime state
49408,bhante,masc,sir; sirs; lord; lords; venerable sir; venerable sirs; reverend; reverends
50752,majjhimā paṭipadā,idiom,the Middle Way; (comm) not approaching the two sides of greed and hatred
51128,manasikāra,masc,attention; bringing-to-mind; observation; noticing; focussing
52955,muditā,fem,happiness (for); appreciation; sympathetic joy
53212,mettā,fem,goodwill (towards); friendliness (to); benevolence (for)
54318,yoniso,ind,properly; prudently; thoroughly; carefully; intelligently
56301,sakadāgāmī,adj,returning (only) once; who has attained the second stage of the path
56433,sakkāyadiṭṭhi,fem,view that one is an embodied being; belief in self-identity; the view that this mind-body complex is an independent entity
57054,saṅghāṭi 1,fem,outer robe; double robe; patchwork robe
57081,saṅghādisesa 2,masc,offence requiring suspension
57393,saññā 1,fem,perception; conception; recognition; third of the five aggregates
57625,satipaṭṭhāna 1,masc,attending mindfully; being present with mindfulness
58069,saddhā 1,fem,faith (in); belief (in); trust (in)
60223,sampajañña 1,nt,attentiveness; clear awareness; full comprehension
61682,saṃyojana 1,nt,fetter; chain; bond; thing which binds
63140,sīmā 2,fem,(vinaya) boundary in which  legal actions are performed
63146,sīla 1,nt,ethical conduct; virtue; moral integrity
63819,sutta 2.1,nt,scripture; discourse; sacred text
64811,sekhiya 1,ptp,related to training; to be practised
65235,sotāpatti,fem,stream entry; first stage of the path
65246,sotāpanna 1,adj,who has entered the stream; entered the first stage of the path
65390,soracca,nt,kindness; gentleness; compassion; (comm) good conduct
67624,vijjā 1,fem,knowledge; wisdom; understanding
67819,vitakka 1,masc,thought; reflection; pondering
68377,vipassanā,fem,insight; penetrating internal vision; introspection
68412,vipāka 1,masc,(of an action) result; outcome; consequence; fruit
68723,vimutti,fem,release; liberation; deliverance; freedom; emancipation
68921,viriya,nt,effort; energy; might; power
69603,viveka 1,masc,seclusion; solitude; detachment; disengagement; independence
71237,hitesī 1,adj,benevolent (towards); who wishes well (for); who wants the best (for)
71265,hiri 1,fem,conscience; sense of right and wrong; scruples; (comm) originating from inside
78541,sāsanārakkha,masc,guardian of the Buddha's teaching; protector of the message
